,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
10,-2.8385634,-15.969199,-4.30952,-2.4650652,0.051368434,1.5785289,-0.66532505,-1.2500682,-5.123172,3.7067246,27.058413,-1.2144406,-0.45639056,-0.20112148,4.848934,-2.7629712,0.61626375,0.45461428,0.3553623,-0.7333033,-0.21460232,1.8447454,-1.5247941,0.41830814,-2.0716076,-1.3723114,0.28585812,-0.5550299,0.651237,-0.9131572,-0.053665422,0.9486444,-0.6974714,-0.44613335,0.40209132,0.10802731,-1.2597761,-0.113447815,0.771191,0.76190174,-1.2188659,0.64166796,0.072823614,-0.47232836,0.14146721,0.53170013,-0.71979845,-0.2829365,0.052084032,-0.10847165,0.10985676,0.11492314,-0.043320797,0.12391813,-0.26731575,0.27488816
11,-1.5369022,0.69451964,-4.8275633,-0.5407587,-2.6975632,2.0020943,2.7054086,-2.9688144,-0.37549233,2.5064583,-1.2144406,26.800112,-2.254612,2.9479334,-0.1988588,-1.6725807,1.5892191,-0.011076552,-0.8841657,0.8697449,1.3472929,0.5606941,0.94620764,1.916537,-1.2625335,0.46246564,-0.78867066,-1.8367782,-0.28665245,-0.49407548,0.46530902,-0.38417494,1.1223985,-0.35777095,-0.36163944,-0.48923135,-0.8571278,0.09734083,-0.42361742,0.31233603,-0.23360509,-0.3563019,-0.031287193,0.23600525,-0.04698822,0.017838594,0.7720002,-0.49208498,-0.45949817,-0.49558806,-0.13543564,-0.19968334,-0.21497568,0.051798463,0.27830833,-0.06255001
12,1.83724,-15.268637,-0.9503002,3.2716498,-4.588657,-0.6059327,3.6472278,-2.0175147,-1.8638082,-4.8217244,-0.45639056,-2.254612,16.446077,-0.1920962,0.48068738,0.027703894,-1.9381739,0.014835069,-0.6116695,0.019134935,-2.8666215,3.634137,2.7018967,-0.43248853,0.6904898,1.3002548,0.30378538,-1.6234379,-0.37524655,-1.5351673,0.9211909,0.2124927,1.3147209,1.298852,-0.95630234,-1.1305177,0.6237029,0.6317504,0.27554226,-0.73568845,0.22127585,-0.09973678,0.26234233,-0.04756143,0.52582705,0.34924746,0.23497836,-0.3225843,-0.36003697,0.1684233,-0.23557237,0.31141937,0.2833035,-0.3207419,0.24238907,-0.38102776
13,0.004845536,-2.3975527,-3.9432979,1.357616,-1.3230002,-3.0313368,-2.9056597,4.473411,1.4999833,-1.589658,-0.20112148,2.9479334,-0.1920962,16.775684,0.898762,0.5891523,-0.97649,-2.653862,1.5462463,-1.6874022,-2.1404152,-0.86804044,-2.0840752,-0.7958225,1.6635998,0.4179941,2.7513375,-0.5792784,1.1062682,-0.86658335,-0.9315142,-0.017927187,0.030811902,0.45982972,0.23648995,-0.28891504,0.51088524,-0.53849965,0.2136593,0.33753926,-0.17316508,0.31806672,-0.1190158,-0.8368193,-0.2962538,-0.01947568,-0.09819618,0.262138,-0.21960619,-0.011964659,-0.14601165,0.093167216,-0.13858938,0.14212447,0.14757372,0.1732055
14,0.32910168,1.9507482,0.46994984,7.144329,-3.5586815,2.6668506,0.84961677,2.1415548,-2.6794548,-0.6370914,4.848934,-0.1988588,0.48068738,0.898762,10.444751,5.8331585,0.20863014,-2.325478,1.4101576,3.8746777,1.4274118,-1.0712802,-1.3260202,-0.97991073,-0.113069355,-0.52447987,-1.0555003,-0.42934355,-0.33301446,-0.40936643,0.3598221,0.63529927,0.26632518,0.074163295,0.3835961,-0.25091606,-0.056303304,-0.22042158,-0.0053223865,-0.0026305197,0.25456104,0.009091245,0.47238326,-0.098315865,0.4536258,-0.18402615,0.27379203,-0.15769742,-0.012811836,-0.27722976,0.018236648,0.30250853,-0.06769115,0.062354345,0.062693685,-0.20903024
15,0.80306613,4.9436417,-0.90303785,-0.8686834,0.25460118,2.6540642,-2.179636,3.5126672,-1.9293141,1.9379742,-2.7629712,-1.6725807,0.027703894,0.5891523,5.8331585,12.568636,0.036061473,-0.76672256,0.16720442,-1.2138093,1.2040062,-0.6454164,0.34716463,-0.4235566,-0.6440525,-1.4046261,-0.25321245,-1.6679482,-0.45195955,1.1435163,0.107944146,-0.914802,1.2007625,1.3400943,-0.76645875,-0.6035836,1.0152986,1.4220734,0.3320961,-0.08338752,-0.009017566,0.2196444,0.2250599,1.0836812,0.25493792,-0.41319424,-0.15298185,-0.12460059,0.18717906,-0.28433815,0.2222521,-0.18041226,-0.05160925,0.2800001,0.18432263,0.16067605
16,-1.0840633,-3.8027792,-2.2152314,4.0865602,0.39687115,-1.9297523,-0.14048435,-2.2013083,5.1192136,-0.043284565,0.61626375,1.5892191,-1.9381739,-0.97649,0.20863014,0.036061473,12.851342,-1.4824606,1.6670094,-2.2851644,0.6068001,1.1449616,-0.15486303,-2.368969,0.69116354,-0.66298485,-1.7923441,-0.25787717,1.2696323,0.28672478,-0.66822636,1.5985324,-0.17937225,0.3954264,-0.66085386,0.2146504,0.61086786,-0.04007911,0.18265837,-0.04219033,-0.33034283,0.048147477,0.56803316,0.97503686,0.205666,0.036261,0.27284,-0.07631005,0.35452864,-0.08690791,0.46321806,0.40571317,0.22912249,-0.3605849,-0.053887956,0.054562747
17,-0.11323157,0.76033354,1.6164477,-0.57966244,-2.6958847,-3.5551906,-1.3200271,4.3138876,-0.63054514,1.1633095,0.45461428,-0.011076552,0.014835069,-2.653862,-2.325478,-0.76672256,-1.4824606,11.174224,-0.7613333,-1.111433,2.228523,-0.40027505,-0.42088407,-1.0252552,-0.85117984,0.69639105,-0.29269952,-2.801328,0.3927139,-1.2635777,-0.35292995,-0.1926077,0.58001316,-0.16107944,0.4100299,0.019011911,0.04017777,-0.5390355,-1.4710579,-0.5333059,0.068607494,0.37233034,0.5603578,-0.13944107,-0.06379956,0.26240405,-0.029528031,-0.8293706,0.17335764,0.543586,0.1396209,0.07969327,0.37022763,0.15945652,0.13830741,0.49828362
18,2.065345,6.0997324,2.7226095,-0.7746603,1.7564288,-0.86168545,-0.5675564,0.37165135,-2.661487,-1.5349897,0.3553623,-0.8841657,-0.6116695,1.5462463,1.4101576,0.16720442,1.6670094,-0.7613333,10.896414,-0.20430043,0.9427915,0.6956944,1.7481447,0.039595734,0.37569678,0.4110765,-0.91378546,-0.5604245,0.6634057,-1.3434474,0.42414975,-1.267659,-1.2210572,-1.2718788,-1.3252878,-0.2663431,-0.21664685,-0.049982734,-0.6009135,0.43423927,0.5813956,0.8840904,-0.04884788,-0.29250932,-0.63935626,0.29539376,0.30440018,0.43434617,0.44078338,0.43855357,-0.3130114,0.22649243,-0.3946001,-0.5807765,0.28484005,-0.03922121
19,-2.6305864,0.72962964,-0.05715264,1.4677768,1.5407865,2.076127,-0.18244895,1.54281,2.651913,0.13577464,-0.7333033,0.8697449,0.019134935,-1.6874022,3.8746777,-1.2138093,-2.2851644,-1.111433,-0.20430043,10.396283,-0.68522227,-0.10539681,0.59651494,-0.53779936,-0.18932435,1.0172884,-0.63577515,-0.36343664,1.9365575,-0.062414553,1.5036302,-0.14054456,-0.55433387,-0.6203846,0.5441941,0.25685883,0.41331637,-0.9358989,-0.35963124,-0.22543243,-0.025220923,-0.24135771,-0.42071256,-0.48969662,0.6943065,-0.49515885,0.29427725,0.28571308,-0.3055249,0.27543163,0.32424608,-0.12019275,0.04658996,0.07463566,-0.3943997,0.19887635
