,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
10,-0.29692104,0.043859206,0.13762756,-0.32170224,-0.25695437,-0.42463106,-0.15862966,0.16330318,0.10682556,0.5382229,0.8559815,-0.039836917,0.07501945,0.013911052,0.06251587,-0.020001926,-0.2212973,-0.08540368,-0.0014792206,0.16680229,-0.41360188,0.040120438,-0.0027518205,-0.20636691,0.07073359,-0.18829274,0.13537177
11,0.05693326,0.005454952,-0.03563173,-0.17833874,-0.010548031,0.05051201,-0.3366294,-0.20663133,-0.070042975,0.17031753,-0.039836917,0.53938586,0.25364292,-0.047900982,-0.078541964,0.15926498,-0.005671894,-0.1345382,0.028757272,0.110517845,0.058036372,0.16621612,0.16163865,-0.0068371873,0.034982987,-0.109496415,0.013334505
12,0.06614804,0.05038798,0.059430752,-0.05184844,-0.36450344,0.07857211,-0.20684716,-0.24218956,-0.076492965,0.2313649,0.07501945,0.25364292,0.7223567,0.075436205,-0.04801814,0.0970148,-0.12601995,0.045902774,-0.18336084,0.24713802,0.07675104,0.31995416,0.14284712,-0.048329517,-0.11345574,0.071965694,-0.062462367
13,-0.021499477,0.042371023,-0.08912524,-0.36533403,-0.28546804,-0.37108985,-0.39747047,-0.07846476,0.16655415,-0.2378707,0.013911052,-0.047900982,0.075436205,0.7105812,-0.061520867,0.17709363,0.0672144,-0.009507206,-0.17140485,0.24195188,-0.09677611,-0.022373594,-0.12527353,-0.042323116,0.0035566376,0.04382193,0.1310279
14,0.06386137,0.028348578,-0.07270238,0.13971801,-0.11917327,-0.17936637,0.06700146,0.20447096,0.16803145,0.13786629,0.06251587,-0.078541964,-0.04801814,-0.061520867,0.5196464,-0.06380257,-0.07122284,-0.019941367,-0.103622355,-0.017871566,0.022213742,0.04176424,-0.02437692,0.06533071,-0.03010163,-0.015399581,-0.1314759
15,-0.003030675,-0.089630134,0.13474646,0.048724577,-0.20220256,0.12911862,-0.27257144,-0.04524803,0.10923619,-0.05009079,-0.020001926,0.15926498,0.0970148,0.17709363,-0.06380257,0.45961088,0.08693066,-0.004336319,-0.13403854,0.18711671,0.0885593,0.1313589,0.10732527,-0.03506574,0.09900933,-0.07011655,0.058119413
16,-0.0009703886,-0.0797965,0.059200227,0.072307065,0.012327418,0.278996,-0.10850374,-0.043253172,-0.012269516,-0.090783365,-0.2212973,-0.005671894,-0.12601995,0.0672144,-0.07122284,0.08693066,0.57864386,0.104723364,-0.18793094,0.08240252,0.13745904,0.048844464,0.1504474,-0.12526464,-0.057077568,-0.10113624,-0.0830255
17,0.0048059425,-0.0072338055,0.15442307,0.062342845,-0.10630849,0.17826846,0.031568177,0.00025066384,-0.04558293,-0.1563581,-0.08540368,-0.1345382,0.045902774,-0.009507206,-0.019941367,-0.004336319,0.104723364,0.43436208,-0.05888263,-0.019158546,-0.109517835,0.020381024,0.019941863,-0.0048594614,-0.0831122,0.055734366,-0.06425351
18,-0.09063758,0.046827577,-0.12878248,-0.26086348,0.35921893,-0.23485711,0.12222305,0.09539832,-0.14390224,0.019573864,-0.0014792206,0.028757272,-0.18336084,-0.17140485,-0.103622355,-0.13403854,-0.18793094,-0.05888263,0.4478435,-0.14582412,-0.13918185,-0.18200444,-0.013039693,0.07270871,0.08654453,-0.012134165,0.06361377
19,-0.066315085,-0.023370555,0.04952053,-0.21286431,-0.3388545,-0.104699805,-0.32506466,-0.097220644,0.05723218,0.23213059,0.16680229,0.110517845,0.24713802,0.24195188,-0.017871566,0.18711671,0.08240252,-0.019158546,-0.14582412,0.3876546,-0.059336074,0.13639998,0.0022508549,-0.1446451,0.009878675,-0.07903381,0.08306859
