,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
22,-2.385079,-2.2446833,1.9945383,-1.6490624,1.3360624,0.19545704,0.92743707,-0.28036964,-7.160946,-1.0813599,-2.3321953,0.9537071,1.7721951,-2.1123047,1.1783891,-1.0664899,-1.7206435,0.16451263,0.112330005,1.8396549,-0.6794821,1.04599,3.9681947,-0.63211066,0.1875914,0.13725206,0.06791127,-1.3184197,0.091610156,0.032502145,-0.24691229,0.2488876,-0.1087791,-0.31278956
23,-1.4832039,-1.5699828,3.1940546,-0.50311893,2.9972413,-0.3744511,1.2809436,2.7405543,3.6757066,1.640931,-0.34748012,-0.3891893,0.1796374,-1.0758018,-2.218979,-1.5524912,-1.6488731,-1.8880782,2.8339963,-1.790084,-2.1293194,-0.7196213,-0.63211066,4.8110857,1.0459872,0.05059313,0.85289097,0.49032187,-0.013152575,1.3259228,-0.1960398,-0.15144147,0.13977483,-0.24854025
24,3.2514205,1.6668153,0.16160202,-2.47023,0.9311754,-0.4774577,0.066145025,0.7748548,-1.4297599,-0.9543005,-0.62675315,-0.29618087,-2.5518694,-1.4623082,-0.13482133,-1.9949605,0.6343435,-0.8632517,-0.20044336,-0.05301905,-1.1987295,-0.23575056,0.1875914,1.0459872,2.1656957,-0.10920051,0.8438976,-0.46557373,-0.25207752,0.34882116,0.4085928,-0.42620617,0.07828875,-0.41273394
25,2.7262702,5.5510187,-1.0300194,-2.2654428,-0.22870836,0.28267217,4.2815223,-0.22299257,1.3653226,2.5113897,-4.056284,-2.5810566,3.3147979,1.2704058,2.0534291,0.6931982,0.74948525,0.34577018,0.25588876,-0.64352524,0.32264853,0.1602347,0.13725206,0.05059313,-0.10920051,3.0473082,-0.8431295,-0.06796801,-0.061544374,0.9364413,-0.11281191,-0.060992725,-0.15168205,-0.076780215
26,0.25292164,-2.318147,-0.14293128,-0.7070321,-0.44659686,0.3226965,-3.0580108,4.0284076,-0.006134877,-1.9552351,0.5485878,1.2792386,-0.61734337,0.72683734,-1.0651081,-0.6739963,0.39995188,0.10951805,0.83768487,0.017895337,-0.23829651,-0.2836403,0.06791127,0.85289097,0.8438976,-0.8431295,1.5697565,-0.40665436,0.5636774,0.3493409,0.00918971,-0.034721352,-0.1946756,-0.84991646
27,-0.33215857,-1.3031266,4.713196,-1.3899924,5.760927,0.6343914,0.3864891,-3.745421,3.8517818,-0.9786293,0.7778655,-1.9849598,-0.40453488,0.44638836,-0.4357684,1.5880594,0.4415001,-0.48795965,-0.9969355,-0.6543007,-0.58064663,0.48771244,-1.3184197,0.49032187,-0.46557373,-0.06796801,-0.40665436,2.3420107,0.13243549,-0.1369037,-0.82470036,-0.23209184,-0.23659989,0.2595638
28,-0.017974086,-2.3808808,0.7574241,-1.7950854,3.073937,-1.8452637,-0.57669175,3.7614276,-0.2246572,-0.98486197,-2.8754518,3.2790146,1.1094131,0.49582988,0.48928547,1.2484912,1.9832804,0.19483742,-0.4569915,-0.27701193,-0.8553891,-0.49894935,0.091610156,-0.013152575,-0.25207752,-0.061544374,0.5636774,0.13243549,2.9201725,-0.49488467,-0.9538582,-0.68577135,-0.15264311,-0.5234586
29,1.570075,1.9072814,-2.874867,1.4372952,-2.1159039,1.1790783,0.7800782,0.23276652,2.7058163,0.37076905,0.57122993,-0.54228956,0.942134,0.7206735,-0.60422415,-1.1478338,-0.091490336,0.23690164,0.36088502,0.92282283,0.7554536,-0.23597176,0.032502145,1.3259228,0.34882116,0.9364413,0.3493409,-0.1369037,-0.49488467,2.2932138,-0.46559733,-0.49981403,-0.91170484,-0.48102862
30,2.1916595,2.6341221,-2.7978885,0.44750288,-2.9163709,-0.9337399,-0.006342193,0.5248495,-0.45422435,0.9889247,-0.11921427,-0.45214102,-1.6379193,-0.12239574,-0.45975822,-0.39468765,-0.576805,0.6929538,0.91104066,-0.3875075,0.15892294,-0.07670912,-0.24691229,-0.1960398,0.4085928,-0.11281191,0.00918971,-0.82470036,-0.9538582,-0.46559733,1.1014785,0.5000581,0.5843135,0.16121496
31,1.7104583,0.20753536,1.630287,-0.7768214,-0.55871046,-0.2471804,-0.9754987,0.11481443,-0.585003,-0.46879944,0.6576423,-0.91976327,1.3235438,1.2105253,-0.30902156,0.28525174,-1.2502872,-0.017959327,1.3212006,0.18066818,0.028012259,0.8584511,0.2488876,-0.15144147,-0.42620617,-0.060992725,-0.034721352,-0.23209184,-0.68577135,-0.49981403,0.5000581,1.0525247,0.3981884,-0.1034466
32,-0.7848741,-1.0926774,2.5049236,-0.41594487,-0.4809386,-1.1649723,0.5382845,-0.5311215,-0.70401376,0.530653,-0.43878955,-0.4326024,0.5904189,0.53890777,-0.40268844,0.56688803,-0.059041746,-0.34475595,1.2963974,-0.7803252,-0.08116452,-0.20393148,-0.1087791,0.13977483,0.07828875,-0.15168205,-0.1946756,-0.23659989,-0.15264311,-0.91170484,0.5843135,0.3981884,1.3577965,0.28339046
33,-0.7411665,1.0196626,-1.6073091,1.9890084,-0.62328374,0.44256324,2.1237824,-1.5761485,0.095158815,1.350951,0.37456554,-0.32766291,-0.035256434,-1.6740924,0.9696953,-0.59145,-0.11979676,-0.679098,-0.46440607,-0.5588268,0.36977404,-0.952584,-0.31278956,-0.24854025,-0.41273394,-0.076780215,-0.84991646,0.2595638,-0.5234586,-0.48102862,0.16121496,-0.1034466,0.28339046,1.1583588
