,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
20,-0.85887986,-2.5544043,-1.2722641,-7.1852727,0.95213926,-0.16222082,5.9178567,-4.3181257,1.6221794,1.8797772,-1.3739017,2.291758,1.8287247,-2.4242115,0.4942978,1.0780396,-3.004931,-0.22537234,-4.1658697,0.3040848,13.470401,-0.898932,-1.6756499,0.4854291,-0.35816875,0.21231726,-3.7447505,-3.1429915,-0.7070751,-1.5354522,-0.2915786,-0.3970561,0.6345782,2.803135,-1.6125239,0.5534538,-1.1525401,-1.1362188,0.86853975,0.37244046,-0.4212032,-0.38393703,2.3916675e-07
21,12.047363,-1.9345794,-4.7116747,1.5402279,2.3923092,-4.7565956,0.10897231,-3.5130882,-0.41769618,-0.90814793,-1.5557966,1.3691952,1.4349861,-2.4036112,3.0398202,-0.2318034,0.05016069,1.6533647,0.91974497,2.0831583,-0.898932,15.104689,-2.0239081,-1.0588126,0.024280291,1.6253934,2.1934223,0.9955966,-2.7383344,0.40225884,0.90647984,2.0339885,0.74559355,1.382745,-0.5998329,-1.0992833,-0.84287083,1.1976418,0.3553867,-0.44996434,-0.042446878,0.09550606,1.1645265e-07
22,1.3811469,-3.0520918,-6.0860434,-0.006646433,1.6500263,1.3936541,-1.4056602,2.768969,2.7717996,1.3789104,-2.623507,-0.18202627,-0.8149987,-1.1521142,-1.8842074,-1.3860211,0.73076487,2.69595,3.0313423,0.9061521,-1.6756499,-2.0239081,11.047015,0.29712182,3.0430493,2.405163,-0.8084425,0.37642866,0.53201,1.1042738,1.0215755,-2.3663077,-0.19219065,1.943526,-0.23503342,1.3755478,0.28319457,1.0899227,0.6093824,-1.5561032,-0.87456584,-0.4050659,-1.5129672e-07
23,-0.46172303,-3.3609562,-2.4068737,-0.8553716,-2.9567685,0.9760338,1.7984564,2.8206954,1.7603433,-2.3513255,0.841264,2.1386795,-1.3933401,-3.5546174,7.186193,-0.34684688,0.130136,-0.13100334,1.5541325,-1.4695152,0.4854291,-1.0588126,0.29712182,7.670784,-0.5770918,0.00084665965,-0.54183924,0.4028624,0.115373634,-0.113233104,-3.814518,-1.4831483,1.3273351,0.023155922,0.37576663,-0.6245892,0.60029864,0.5542556,0.23529443,-0.2877919,0.16037044,0.42026192,-3.597953e-09
24,-3.2342024,3.0193536,-2.6013985,2.0312839,-1.6608753,2.533261,5.288718,-2.9460323,2.0450897,-2.4150305,2.8803387,-0.41466355,2.3271208,2.3457518,-2.149643,1.9438182,0.22468863,-2.3311114,3.799767,1.0608609,-0.35816875,0.024280291,3.0430493,-0.5770918,11.837019,0.233326,1.4291387,-2.5456781,-1.3076386,-0.9343716,-0.91461,0.19730857,1.3005769,0.2409482,0.6046777,-0.8990828,-0.57448065,-0.016681548,-0.06809912,0.21631491,-0.50599945,-0.09019449,7.459899e-08
25,-0.74255425,-0.027102876,2.2065814,0.9021503,-3.4627385,-3.9791193,-0.45301744,1.26212,3.3274064,1.221235,0.74216056,-0.9826019,-2.2327898,-1.9151359,2.2082472,3.0068388,2.4868178,1.2886581,-2.5183525,1.3998842,0.21231726,1.6253934,2.405163,0.00084665965,0.233326,7.113463,-0.065894574,-0.72599345,-0.44598725,0.057941727,2.5259566,-2.2085333,1.0321851,-0.9683789,0.9509504,0.16529772,-0.9334103,-0.09097956,0.7753292,0.68032277,-0.5027014,0.47712737,3.3660168e-08
26,-2.6234589,-0.93285626,-3.5057404,0.6184022,0.83360493,-0.5133953,2.0874758,-0.11030133,-1.7612836,1.1760876,-0.96000683,1.1530892,3.0312517,-4.613755,-2.4334943,3.7391558,-1.551409,0.050490603,-1.1818213,-1.9197783,-3.7447505,2.1934223,-0.8084425,-0.54183924,1.4291387,-0.065894574,7.624237,0.068192065,1.469735,0.6736771,-0.5554366,-0.5698786,0.29668105,-0.72960305,0.96480036,0.65893865,0.9751711,0.20380464,-0.7324871,0.62565064,0.3836508,0.0128221745,-2.518201e-07
27,-5.940013,1.734935,-3.2448583,-4.1882715,-0.6069228,-3.505755,2.229714,-0.74981654,1.589691,1.6516011,-0.22388154,-0.007867942,-1.8843405,3.2856383,1.6481489,2.1248136,1.8097129,-0.26702055,2.0464323,-4.27717,-3.1429915,0.9955966,0.37642866,0.4028624,-2.5456781,-0.72599345,0.068192065,5.7815347,0.19366895,0.38811693,0.84645224,0.2635619,-0.27557763,0.2849415,-0.8878289,0.05072952,0.019546453,0.2876191,-0.37851146,-1.2206674,0.2181795,-0.29064816,-1.0542625e-07
28,-0.9207852,-2.328046,-1.3925812,-3.3218424,-5.254179,-2.161443,1.0814602,0.34063882,-0.05203374,1.3227007,0.36412397,-0.48911113,4.288249,-3.3811455,-0.62159,-2.305908,-0.7516159,1.5447857,1.5767125,0.44107533,-0.7070751,-2.7383344,0.53201,0.115373634,-1.3076386,-0.44598725,1.469735,0.19366895,7.3858747,0.63193035,1.0640059,0.08309919,1.0489079,-1.752646,-1.4773045,-0.99313825,-0.3333551,-1.0640604,0.25821632,-0.27911878,-0.27364904,-0.34365967,1.2127586e-07
29,-1.1625504,2.5434384,0.85127413,2.9444273,-0.11822194,2.1355863,2.0434828,1.6488874,3.9868903,2.4857862,-2.0355787,-2.2662702,-2.2779438,-3.4366822,-0.77650857,-0.32946116,-0.44231433,0.83179265,0.92590714,0.8009082,-1.5354522,0.40225884,1.1042738,-0.113233104,-0.9343716,0.057941727,0.6736771,0.38811693,0.63193035,2.917636,-0.7752992,1.3900272,-1.6080532,-0.18255717,-0.1298843,0.18278164,-0.8935133,0.17232564,0.29668325,0.06022454,0.40224168,-0.08925517,-2.0197996e-07
30,0.71722543,2.7238092,-1.7457422,4.5646067,0.96783596,-0.8158723,-1.154001,1.4602908,0.52355254,-2.1437242,0.65735126,1.2904742,2.343985,1.4289682,-0.96244895,-1.0234852,1.766051,-1.1516873,-1.8220866,-1.9524701,-0.2915786,0.90647984,1.0215755,-3.814518,-0.91461,2.5259566,-0.5554366,0.84645224,1.0640059,-0.7752992,5.838718,-0.44920146,0.13062724,-0.19960919,-0.90350795,0.37955326,-0.9091729,-0.7754388,0.17688107,-0.08166775,-0.40438634,0.004971504,2.0296284e-07
31,0.99799454,0.7121741,0.5381421,1.6938024,0.94516397,0.73756826,3.070695,-0.060909122,2.5195284,-0.71143335,0.070032835,-0.9741869,-2.1467774,0.09880145,-2.557209,-1.7841406,-0.16287614,-0.57547474,1.0058718,1.1256841,-0.3970561,2.0339885,-2.3663077,-1.4831483,0.19730857,-2.2085333,-0.5698786,0.2635619,0.08309919,1.3900272,-0.44920146,3.3101673,-0.6260412,-0.24786419,-0.99867725,-1.2816627,-0.63362706,-0.27201086,-0.090320304,0.019301446,0.29482523,-0.104962304,7.260073e-08
32,1.5879724,-1.9539442,0.7678783,-1.8494954,-2.687627,-2.118404,0.90327775,-0.319058,-1.8747668,-1.9637067,-1.0658712,0.7697174,-0.47451606,-0.8143712,0.03764831,1.0258863,2.2867818,-1.1510466,-0.7123605,0.4092781,0.6345782,0.74559355,-0.19219065,1.3273351,1.3005769,1.0321851,0.29668105,-0.27557763,1.0489079,-1.6080532,0.13062724,-0.6260412,3.278518,-0.14724624,-1.065444,-1.5469601,1.4177196,-0.20877865,-0.114368856,-0.40539244,-0.8096847,0.15733497,3.4285034e-07
33,-0.39097953,1.975949,0.90403706,-1.0434763,4.5294995,0.7926395,0.614782,-0.602529,-1.3306813,-0.6916218,-1.2137334,1.0268803,0.34670526,-1.6740324,-0.69854414,0.8967665,-1.0087216,0.2259981,0.6724423,-1.0532653,2.803135,1.382745,1.943526,0.023155922,0.2409482,-0.9683789,-0.72960305,0.2849415,-1.752646,-0.18255717,-0.19960919,-0.24786419,-0.14724624,2.8687205,-1.2931281,1.039962,0.14117758,0.55156165,0.054515637,-0.943566,-0.254476,-0.14610818,8.246252e-08
34,1.0407022,0.7352868,-3.93251,-3.1578145,1.4103048,-1.1416634,-2.9821682,-0.12506872,1.6933724,-0.2623835,0.26759502,-0.6310836,0.29928547,1.4672105,1.2224743,-0.5777364,-0.23569158,-0.33802825,-1.124233,0.55199504,-1.6125239,-0.5998329,-0.23503342,0.37576663,0.6046777,0.9509504,0.96480036,-0.8878289,-1.4773045,-0.1298843,-0.90350795,-0.99867725,-1.065444,-1.2931281,3.1853328,0.44122958,0.16253524,0.28432986,0.28070647,1.1489729,0.5458988,-0.5487082,-4.5523115e-07
35,-2.9550433,2.6962361,-0.16910827,-1.3852682,3.1422873,0.24010912,-0.31234133,0.47493434,-0.7328416,1.3264085,-0.31943756,-0.48718965,2.215734,-0.4140846,0.025807217,0.49128768,-1.4211359,0.42659408,-0.523802,-0.83838665,0.5534538,-1.0992833,1.3755478,-0.6245892,-0.8990828,0.16529772,0.65893865,0.05072952,-0.99313825,0.18278164,0.37955326,-1.2816627,-1.5469601,1.039962,0.44122958,2.3920074,-0.28988683,0.33989072,-0.47943074,-0.041100647,0.2848675,0.85813224,-5.5137164e-08
36,2.769589,-2.2035015,0.06551346,-1.7016526,0.60002244,-0.5023651,-1.6861849,0.80946004,-1.7498235,-2.2045465,-4.0402155,0.18627882,-1.0121334,0.63395226,-1.9991876,-0.01147826,0.5438147,-0.1269612,-1.6186085,-0.13151166,-1.1525401,-0.84287083,0.28319457,0.60029864,-0.57448065,-0.9334103,0.9751711,0.019546453,-0.3333551,-0.8935133,-0.9091729,-0.63362706,1.4177196,0.14117758,0.16253524,-0.28988683,2.4420362,0.41831487,-0.5628871,-0.27337837,-0.32788825,-0.059812687,3.8722607e-08
37,1.77443,-0.45471504,0.5182712,-0.07825419,0.7237466,-0.21584423,-1.6724449,-0.16994125,-0.25827622,-0.63424194,-0.7510723,-0.24647495,-0.43983495,0.026659053,0.32469702,-0.05868079,-0.35318756,1.1701388,0.8078764,0.27240148,-1.1362188,1.1976418,1.0899227,0.5542556,-0.016681548,-0.09097956,0.20380464,0.2876191,-1.0640604,0.17232564,-0.7754388,-0.27201086,-0.20877865,0.55156165,0.28432986,0.33989072,0.41831487,0.68431485,-0.110697955,-0.3128456,-0.00410611,0.14165828,-4.3815838e-08
