,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
18,2.44135,-1.4139104,-2.970153,-3.256106,-0.934363,2.2192996,0.01213707,1.6211782,-1.1370485,3.2763495,-0.6978843,-2.2412286,-1.9660832,-0.52306455,4.687599,-0.098975025,1.2890087,-0.18513927,0.6691637,-0.3129685,0.25025487,0.026174184,0.23468895,-0.14079742,0.024182394,0.24937284,-0.06640686,0.12035592,-0.18620794,0.044782426,0.06426198,-0.15973775,-0.051492028
19,-0.91980135,1.4883541,2.5654624,1.5121032,0.49418986,-1.9688387,0.3004681,-1.0696323,0.99858063,-1.3197608,0.2859742,0.944969,0.70174253,0.19805853,-2.0525966,0.088230595,-0.5791794,0.0921093,-0.3129685,0.15314703,-0.1290647,-0.018414376,-0.098579586,0.073705204,0.027102195,-0.114041194,0.037632465,-0.063155286,0.08554284,-0.037356697,-0.025027303,0.07398084,0.017981144
20,1.051263,-0.92599857,-1.1739019,-1.5560901,-0.55518496,1.035978,-0.117685005,0.9658233,-0.53206456,1.5381434,-0.2127247,-1.0414367,-0.86259735,-0.18564475,1.950638,-0.03714565,0.51935494,-0.08426711,0.25025487,-0.1290647,0.08265373,0.011951376,0.096325934,-0.037125662,0.05155954,0.09558214,-0.024816819,0.04508904,-0.071763806,0.004191406,0.023195136,-0.06453733,-0.018924575
21,0.07447189,-0.34693605,-0.6490526,-0.12994319,-0.2014935,0.6177122,-0.09046626,0.21703333,-0.29199356,0.09636538,0.021327239,-0.07223146,-0.0035447848,0.00021496229,0.182755,-0.021791464,0.051431276,-0.013703207,0.026174184,-0.018414376,0.011951376,0.004331576,0.006617785,-0.004755402,-0.0038689985,0.009179757,-0.005336037,0.0075561665,-0.0071706735,0.0053566415,0.00022381952,-0.0071742125,0.0007472409
22,0.6935545,-0.28496802,-0.8302878,-1.0104644,0.011570945,0.3904367,-0.011252106,0.4157494,-0.21036962,1.0155605,-0.31010434,-0.70084274,-0.65918744,-0.19059989,1.4644375,-0.03099027,0.41877517,-0.051495902,0.23468895,-0.098579586,0.096325934,0.006617785,0.07586965,-0.06218832,-0.02618957,0.08578257,-0.023059307,0.04189878,-0.063546576,0.02554555,0.023448505,-0.0519407,-0.01893976
23,-0.7763193,0.35032454,0.21056348,0.9840795,0.3829822,-0.23674487,-0.0680896,-0.46345732,0.1617854,-0.99566084,0.13888758,0.6651717,0.5973284,0.12493479,-1.2345861,0.0022168998,-0.31498596,0.049954973,-0.14079742,0.073705204,-0.037125662,-0.004755402,-0.06218832,0.011678489,-0.061709814,-0.05577202,0.010852661,-0.022179574,0.041686773,0.009617381,-0.014991245,0.03827382,0.013247811
24,-0.88604,0.46637455,-0.20733915,0.9337152,0.9060168,-0.30287954,-0.013693323,-0.7496145,0.24918425,-0.982662,-0.14519072,0.59114534,0.47551987,-0.0129226595,-0.5742246,-0.022761695,-0.09156844,0.042216316,0.024182394,0.027102195,0.05155954,-0.0038689985,-0.02618957,-0.061709814,-0.16233163,-0.00043345243,-0.0053906785,0.0072185732,0.0013446994,0.05222907,0.002655074,0.010952909,-0.00030886754
25,0.91429836,-0.5358613,-1.0546756,-1.2278275,-0.25811684,0.7152808,-0.0039702994,0.6105293,-0.37161058,1.2307032,-0.32471856,-0.8524017,-0.77367175,-0.19468269,1.690162,-0.036329783,0.47033715,-0.06580729,0.24937284,-0.114041194,0.09558214,0.009179757,0.08578257,-0.05577202,-0.00043345243,0.09257053,-0.024960056,0.04504999,-0.068951905,0.019462466,0.024018433,-0.05852689,-0.019383254
26,-0.3376605,0.3469814,0.71434605,0.44082087,0.2377537,-0.59990877,0.08458349,-0.36569786,0.31331378,-0.42781287,0.035737444,0.28095415,0.21114194,0.037932493,-0.48766083,0.022527557,-0.13387747,0.02572941,-0.06640686,0.037632465,-0.024816819,-0.005336037,-0.023059307,0.010852661,-0.0053906785,-0.024960056,0.008798812,-0.014278331,0.0188201,-0.0051220893,-0.0045229085,0.017397113,0.0030828035
27,0.45207834,-0.5776727,-0.9026859,-0.68908674,-0.30748534,0.8206514,-0.113110766,0.5420308,-0.3786932,0.692268,-0.11499199,-0.48120153,-0.3780255,-0.07304716,0.86472416,-0.031406756,0.23749821,-0.040918503,0.12035592,-0.063155286,0.04508904,0.0075561665,0.04189878,-0.022179574,0.0072185732,0.04504999,-0.014278331,0.024162356,-0.033854123,0.008852276,0.0095788,-0.030359032,-0.0071654962
