,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,15.698742,-8.335815,8.226296,8.301374,4.0097494,0.96898854,6.9744363,8.29369,-6.2968817,1.9613906,24.711,4.753269,7.793683,0.40626058,1.0626092,-2.3670158,4.2527056,1.3292742,-1.3958871,-1.7826463,-4.0853863,-1.9632878,2.0066514,0.31790125,1.7412343,0.006275419,1.0634125,-0.03341878,0.036858045,-0.5617461,0.395953,0.079581834
11,3.9612007,0.585129,0.8492497,13.273019,6.486799,1.1858667,-3.561473,-7.323721,-4.5189323,-5.329012,4.753269,29.075462,-3.613481,-1.3371608,0.31113476,3.5797887,-2.8587122,1.6138322,-0.5602819,-0.6551229,0.54962665,-0.876215,-0.6454759,-0.23320799,-1.0308774,0.12527595,0.4110332,1.0196714,-0.6656568,0.39707372,0.43482494,0.09075922
12,-9.782066,8.276599,-1.7241557,-0.59478855,-1.5984068,0.92048323,3.5609086,-8.395203,5.7210884,-3.5574245,7.793683,-3.613481,23.834816,-0.21181646,2.3036833,0.09610322,-1.9869599,1.2044176,-0.24053748,-1.4527764,-2.1543698,-0.2954132,1.5954646,0.7093329,-0.24078271,-0.14226347,1.2083251,0.67045903,-0.25605908,0.9552357,0.38316402,0.1507101
13,3.444695,-5.6115894,0.5772357,-2.9752426,-4.68174,-1.4700181,0.3871805,1.6688967,2.3109398,-4.2523904,0.40626058,-1.3371608,-0.21181646,20.813148,2.144898,6.9970074,0.3132375,-2.5121036,-4.591669,-1.7053127,-0.32725838,0.13625309,-1.515386,0.015396616,2.4672184,-0.8904741,0.45529336,-0.3163386,-0.01016884,-1.4341705,1.0562036,-0.28795755
14,-3.4665215,1.325558,0.09132852,1.7248819,2.007317,0.21803012,-2.4853835,2.8448963,-1.4364041,0.10975069,1.0626092,0.31113476,2.3036833,2.144898,21.509937,0.3575916,-1.0881302,-1.3913896,2.7799325,-0.19332762,1.1097832,-0.71769774,-1.9128475,-0.5028049,-1.6317854,-0.035675425,-1.8205116,1.4899187,1.62994,-1.0151349,0.51450324,-1.4058895
15,-5.8062162,6.6221914,0.4060818,-2.4261832,-0.13440251,-2.6361163,2.0299008,-1.4365463,2.2967117,3.496729,-2.3670158,3.5797887,0.09610322,6.9970074,0.3575916,8.675634,-1.5910752,2.3230329,-0.8950999,-0.5938829,1.5744671,-1.2736087,1.1721214,-3.0908294,-0.5411601,0.10092665,1.201893,0.28453195,0.48773354,0.0017984813,0.7017814,0.019446023
16,-4.259437,2.2540221,0.14614338,1.778368,1.3244619,0.10579519,-2.23034,-3.0327468,-0.1391395,-2.0910056,4.2527056,-2.8587122,-1.9869599,0.3132375,-1.0881302,-1.5910752,19.22596,-0.3112085,-0.5679183,-1.2375438,1.0629293,-1.8767288,0.53751504,-1.3422983,-0.9069426,-0.80276847,-1.7639074,0.91048014,-0.31136268,-1.1244867,-0.17471847,-0.30303538
17,-4.502413,1.583915,3.414298,3.2657118,-0.03743431,-4.4599905,3.5767627,3.4559555,6.0386,-0.71958303,1.3292742,1.6138322,1.2044176,-2.5121036,-1.3913896,2.3230329,-0.3112085,14.18565,-0.7117185,1.1768283,1.6494968,0.07645525,-0.25665787,-1.085252,-0.19040304,-0.79489255,-1.9415481,-1.6826518,0.3883888,-1.3773133,-0.4079883,-0.18920547
18,2.4303734,-2.4736834,4.2520924,-1.2623034,-2.597042,-2.2683234,2.712249,2.5122032,2.98202,-2.2144773,-1.3958871,-0.5602819,-0.24053748,-4.591669,2.7799325,-0.8950999,-0.5679183,-0.7117185,9.984206,-0.41036868,1.2312824,-2.117571,-0.65373623,-1.4276636,0.9476132,-0.42547044,0.1594828,1.8863053,-1.0536609,1.1669556,-0.4478206,-0.05443217
19,-1.6454427,-0.8873614,-0.8362535,-2.4524398,-1.5456038,2.8944325,-0.31042388,-0.80900097,-1.2120978,-2.3608453,-1.7826463,-0.6551229,-1.4527764,-1.7053127,-0.19332762,-0.5938829,-1.2375438,1.1768283,-0.41036868,11.825172,-2.3174405,-2.4998252,0.5770956,-0.82121927,0.30966377,-0.78622586,1.0607326,1.2590487,0.079686314,-2.0860462,1.0951592,-0.069612704
20,-1.0576923,1.5346051,1.3607649,-3.2646432,-1.2431314,3.1632023,4.9362903,-1.9412069,-1.0916791,-2.2578816,-4.0853863,0.54962665,-2.1543698,-0.32725838,1.1097832,1.5744671,1.0629293,1.6494968,1.2312824,-2.3174405,9.765385,-1.1425116,2.6551933,2.0067215,0.61491984,-0.4661935,-0.51043785,-0.10064868,0.8191296,0.43764916,0.94924414,0.04486582
21,0.970578,0.021472782,-1.1990054,-0.66887385,-0.10786292,1.5170281,1.131827,1.8302547,-1.0506684,-2.8737373,-1.9632878,-0.876215,-0.2954132,0.13625309,-0.71769774,-1.2736087,-1.8767288,0.07645525,-2.117571,-2.4998252,-1.1425116,8.475485,0.28191286,-1.4514396,-1.7955177,-1.02667,-1.2890487,1.5775013,-1.1424823,-0.28041458,-0.24459493,1.0185983
22,0.29893416,-0.78726524,-0.873597,-0.2679097,-0.15665925,-1.3103517,-3.4828367,3.73793,0.042602506,-0.76667786,2.0066514,-0.6454759,1.5954646,-1.515386,-1.9128475,1.1721214,0.53751504,-0.25665787,-0.65373623,0.5770956,2.6551933,0.28191286,7.4465356,-0.6545919,-0.3806069,0.7927733,1.5686166,1.4146678,0.44567028,0.8766788,1.3103666,0.47371727
23,0.7256274,-0.29345393,-1.9438195,2.6270928,-0.581694,-2.079915,-1.02488,0.6543267,0.57225704,-0.74425936,0.31790125,-0.23320799,0.7093329,0.015396616,-0.5028049,-3.0908294,-1.3422983,-1.085252,-1.4276636,-0.82121927,2.0067215,-1.4514396,-0.6545919,8.758755,-0.7854465,-0.30957356,0.8098967,-0.5160233,-0.101946145,-1.3301373,0.37939662,0.62951696
24,-0.22286715,1.8112671,-3.2073312,1.6516232,0.9066901,0.37060302,-0.56672513,-0.2153903,-0.46411324,-0.5407029,1.7412343,-1.0308774,-0.24078271,2.4672184,-1.6317854,-0.5411601,-0.9069426,-0.19040304,0.9476132,0.30966377,0.61491984,-1.7955177,-0.3806069,-0.7854465,7.8425465,-0.16577712,-0.761296,0.0958713,-0.1850703,0.3542305,-0.51125777,0.43422323
25,-0.9213935,-0.26006815,0.122749925,-1.5728024,-0.5023209,0.045673024,0.03404261,-0.042245425,-0.056493282,-0.93232685,0.006275419,0.12527595,-0.14226347,-0.8904741,-0.035675425,0.10092665,-0.80276847,-0.79489255,-0.42547044,-0.78622586,-0.4661935,-1.02667,0.7927733,-0.30957356,-0.16577712,8.67983,-1.1282979,-0.44186983,-0.104811884,-0.73484564,0.055296794,0.44731808
26,0.720543,0.14916027,-0.6772312,-1.2840352,-0.36560726,-0.70130527,0.48236698,0.76454043,-1.4306593,-0.619343,1.0634125,0.4110332,1.2083251,0.45529336,-1.8205116,1.201893,-1.7639074,-1.9415481,0.1594828,1.0607326,-0.51043785,-1.2890487,1.5686166,0.8098967,-0.761296,-1.1282979,3.5316968,-0.29845718,0.37246224,0.445072,-0.95690703,-0.115053296
27,-0.68305624,0.44070488,-0.0026089617,-0.33187518,0.47190198,-2.0654626,0.26661423,-1.6518601,0.54470575,0.17291799,-0.03341878,1.0196714,0.67045903,-0.3163386,1.4899187,0.28453195,0.91048014,-1.6826518,1.8863053,1.2590487,-0.10064868,1.5775013,1.4146678,-0.5160233,0.0958713,-0.44186983,-0.29845718,4.18427,0.16927965,-1.0268767,0.45469373,1.7361021
28,0.8219264,-1.4668354,0.3871295,0.015390709,0.8793323,1.1496232,-0.631244,0.56118155,0.51014334,0.6043235,0.036858045,-0.6656568,-0.25605908,-0.01016884,1.62994,0.48773354,-0.31136268,0.3883888,-1.0536609,0.079686314,0.8191296,-1.1424823,0.44567028,-0.101946145,-0.1850703,-0.104811884,0.37246224,0.16927965,4.2747173,-0.15847918,-1.627569,0.72006905
29,-1.4011234,-1.7768116,-1.0398732,0.5683847,0.15895289,0.46136153,-1.9915057,0.0022121342,-0.013536074,0.28689122,-0.5617461,0.39707372,0.9552357,-1.4341705,-1.0151349,0.0017984813,-1.1244867,-1.3773133,1.1669556,-2.0860462,0.43764916,-0.28041458,0.8766788,-1.3301373,0.3542305,-0.73484564,0.445072,-1.0268767,-0.15847918,2.2428207,0.11452246,-0.7548524
30,0.9475671,-1.3056988,0.104427546,-0.6988081,0.62285525,0.8394247,-0.3231786,0.93887687,0.41843686,1.9512256,0.395953,0.43482494,0.38316402,1.0562036,0.51450324,0.7017814,-0.17471847,-0.4079883,-0.4478206,1.0951592,0.94924414,-0.24459493,1.3103666,0.37939662,-0.51125777,0.055296794,-0.95690703,0.45469373,-1.627569,0.11452246,3.2242231,-0.23076011
31,-0.26631472,0.8860669,-0.053117245,0.4953048,0.0049474947,-0.027998652,0.7860504,-0.40277958,0.86240464,0.9638067,0.079581834,0.09075922,0.1507101,-0.28795755,-1.4058895,0.019446023,-0.30303538,-0.18920547,-0.05443217,-0.069612704,0.04486582,1.0185983,0.47371727,0.62951696,0.43422323,0.44731808,-0.115053296,1.7361021,0.72006905,-0.7548524,-0.23076011,1.5056709
