,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
12,-8.415606,-10.964106,-11.166549,2.0197005,-6.40122,5.874627,-2.181281,-8.931763,-2.1096864,7.8767347,2.7209518,4.015813,24.659483,1.5124824,0.82787657,1.2503238,1.3032511,-0.696103,1.6311407,1.441381,0.67198014,-0.26401913,1.0045855,0.8332107,0.47951382,0.33310556,0.44685823,-0.15630555
13,9.350931,0.44843733,-2.1074276,-9.570746,8.8180485,0.51973486,-2.5503988,1.6695647,-5.79899,0.8174284,2.3968115,-0.45928204,1.5124824,22.338285,0.77977026,-0.39672822,3.002306,2.3480396,-0.13387012,-1.3038384,-0.8430198,1.9032564,0.48660618,0.34031373,0.7866013,-1.4442503,0.009423752,0.6632952
14,7.282057,6.5881705,2.0900788,1.2939467,7.660839,3.182402,-0.45376536,0.70086086,0.17873508,-3.0682335,0.072719134,0.17996496,0.82787657,0.77977026,21.453032,2.1994834,-0.54237247,-1.8477707,0.0771655,-0.4615862,0.9913403,-0.27845314,-0.41931224,0.39737463,0.11040378,0.50706476,0.96947,-0.121294916
15,-13.96553,-1.4091561,10.111378,2.049584,-9.831846,-4.682656,-3.8328567,-0.23735103,-2.1799464,-2.1863256,1.8203125,-2.67066,1.2503238,-0.39672822,2.1994834,17.57301,-0.36763284,2.1259506,-1.7762313,1.9266876,1.1394436,0.28900594,1.0371956,-1.7511728,1.2233865,-0.15353525,-0.3965764,0.59797275
16,-0.16220073,3.3020642,5.8836927,3.6873226,-1.719445,-0.7255631,-1.9046755,2.0436826,-0.14911447,-0.7156523,-1.6314242,0.028327743,1.3032511,3.002306,-0.54237247,-0.36763284,15.76554,-3.9508183,0.12598151,1.5016723,0.0047359276,-1.3918695,0.14163737,-1.1862831,-1.4083006,1.3761702,-0.41282207,-0.25145212
17,9.828982,1.2542562,-1.71796,3.4127424,3.42895,-2.056706,-1.7878851,1.2235496,-4.339472,-0.4362958,0.7125912,0.9073236,-0.696103,2.3480396,-1.8477707,2.1259506,-3.9508183,11.726763,0.75580907,1.6146369,0.5509964,-1.8470294,0.60515976,-1.0905564,-1.7823415,2.598074,0.5071862,-0.10423964
18,3.16145,1.0977304,0.03692396,3.2327027,-2.5193706,-3.1217902,2.0404534,-0.3531155,-1.7924526,-4.555585,0.6542494,-1.0801653,1.6311407,-0.13387012,0.0771655,-1.7762313,0.12598151,0.75580907,13.735276,0.41320762,-0.3248838,0.35192457,0.47492492,-0.20409429,1.0325701,-0.33353168,-0.0789237,-0.19694307
19,2.1212134,0.4112224,-1.9832959,-4.503708,5.196269,-0.40636584,2.7420893,3.0580654,2.7149184,0.34705043,-1.3481258,0.32124123,1.441381,-1.3038384,-0.4615862,1.9266876,1.5016723,1.6146369,0.41320762,12.191164,-0.7156826,0.75558096,-1.0035145,0.665384,-0.10328035,-0.7238432,-0.068979576,-0.18507957
20,3.8523693,3.4667935,-5.1745872,0.85044575,-1.1517966,2.4242246,4.189399,-2.9623103,-0.52110416,-0.8786526,-0.84653497,3.4936209,0.67198014,-0.8430198,0.9913403,1.1394436,0.0047359276,0.5509964,-0.3248838,-0.7156826,8.9836645,1.8452315,0.18423575,-0.7731669,-0.9439267,-0.3055262,-1.4109409,-0.90911967
21,-2.330171,0.77006215,-0.44049215,0.096955575,-0.13867883,-0.9369873,-0.28531384,2.877873,0.58049166,2.3146653,-2.355422,-1.0210683,-0.26401913,1.9032564,-0.27845314,0.28900594,-1.3918695,-1.8470294,0.35192457,0.75558096,1.8452315,8.339943,-0.20906055,1.7704985,-0.050636165,-0.17450038,0.28129047,0.09399829
22,-0.80287933,-0.32035595,1.3010702,-1.3478787,1.4973958,-0.37713027,1.2269932,2.5390258,3.736224,0.37618083,-1.8140001,-0.42949095,1.0045855,0.48660618,-0.41931224,1.0371956,0.14163737,0.60515976,0.47492492,-1.0035145,0.18423575,-0.20906055,8.11101,0.37642485,-0.36114383,-0.15040055,-0.020984104,-0.08573544
23,-2.7621508,-2.0403218,4.920893,0.5456081,-1.7288883,-1.7773023,-1.8755883,0.61772656,-1.3433257,-0.27999112,1.1931547,0.13995853,0.8332107,0.34031373,0.39737463,-1.7511728,-1.1862831,-1.0905564,-0.20409429,0.665384,-0.7731669,1.7704985,0.37642485,5.1161566,-0.27567905,0.5273811,-0.53707767,-0.052624766
24,2.5240698,1.4818268,-0.016098268,0.20978884,0.99245596,1.1523106,0.6985849,0.73998606,1.845331,2.0706787,-1.5614591,0.15350455,0.47951382,0.7866013,0.11040378,1.2233865,-1.4083006,-1.7823415,1.0325701,-0.10328035,-0.9439267,-0.050636165,-0.36114383,-0.27567905,4.699766,0.3416636,-0.43176398,-0.044302646
25,0.7176913,-1.4659504,1.1235502,-2.2306623,-0.6884304,1.5934856,-0.8450018,-0.3807245,0.8485234,-0.95512915,-0.3255741,0.3541785,0.33310556,-1.4442503,0.50706476,-0.15353525,1.3761702,2.598074,-0.33353168,-0.7238432,-0.3055262,-0.17450038,-0.15040055,0.5273811,0.3416636,5.3479524,-0.18856817,-0.057383686
26,-1.2833387,-2.8842492,1.1634264,-0.9555682,-2.8275938,0.16340427,-0.26281607,0.48954546,0.56885767,0.6310017,-1.1388974,1.2420449,0.44685823,0.009423752,0.96947,-0.3965764,-0.41282207,0.5071862,-0.0789237,-0.068979576,-1.4109409,0.28129047,-0.020984104,-0.53707767,-0.43176398,-0.18856817,4.7083464,-0.38838136
27,1.1421883,-1.9134359,-1.0065486,0.24149895,-0.7619308,0.75368416,0.58667266,-0.057348967,0.26776093,-0.38056934,-0.7992216,1.6231997,-0.15630555,0.6632952,-0.121294916,0.59797275,-0.25145212,-0.10423964,-0.19694307,-0.18507957,-0.90911967,0.09399829,-0.08573544,-0.052624766,-0.044302646,-0.057383686,-0.38838136,4.0376344
