,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
20,5.884181,0.9511466,-9.104403,1.7056522,-2.4950376,-9.056923,-3.3241205,2.0524879,-3.7025213,-0.59879094,1.3871102,2.2464392,2.6688418,2.6645808,0.08638924,-2.6900105,3.2199879,-1.8344126,-2.298794,1.330163,6.032333,0.6216065,-0.19872257,0.04855889,-0.74484086,3.8623605,0.18387696,-2.4691296,-0.6854994,-0.17783585,1.0631957,0.16376567,-1.35094,-0.7713214,1.4497436,0.0969004,-0.18086192,-0.31108367
21,-5.249448,2.1893945,1.4083637,2.2577608,3.5480163,-1.3551444,0.54118276,-2.1667366,0.66345024,0.35412812,-2.9785476,1.6320999,-0.4655771,0.5365114,0.2012802,1.1598189,0.7587081,0.56625366,-0.016527368,2.747902,0.6216065,1.5072048,1.0494452,0.24809536,-0.43203777,-0.023501206,-0.20319968,-0.50339335,0.071469575,-0.78911936,1.3190825,-0.66778487,-0.10064994,-0.7991874,0.88940096,-0.5663389,-0.49888724,-0.3464593
22,-6.0419817,2.8023362,-8.326809,1.073437,5.6150217,0.6453613,4.260435,-2.471204,-3.9716058,2.636471,-0.47354674,-1.2474978,-4.9214125,0.0036621564,-4.878602,3.9511127,-0.7395803,-1.346492,0.22880563,-0.0509985,-0.19872257,1.0494452,5.8303976,-1.7996509,-0.6410438,0.59351385,0.64793485,0.042009577,1.8756064,-0.6092573,0.07633962,-0.33284074,-0.3821503,-1.5961323,0.39241433,-1.3700695,0.18614733,-0.61212325
23,-4.8707485,-1.1202371,10.254168,9.553383,-2.5669475,-7.960004,6.7080297,0.81077754,0.7192476,1.1283243,-3.326941,1.3717299,-1.0247731,0.6845512,-1.3400779,-3.2328053,-1.5538735,1.3528485,1.5014613,0.89763063,0.04855889,0.24809536,-1.7996509,6.0896893,0.94855183,-0.16807184,-0.23085809,-0.017549034,-1.4288588,2.7997394,-0.6270324,1.1757741,-0.43854284,-1.0359882,0.29680216,-0.16652465,-1.34582,-0.37702653
24,5.091613,-6.3910384,0.11907524,-1.9528228,-1.3789129,-1.4383175,2.3157234,0.23031214,-0.62419677,-0.42755985,-0.22439694,-3.9601176,-2.4210486,-3.129985,2.7426007,-2.9616132,2.3468068,0.8010559,1.6077174,0.35244322,-0.74484086,-0.43203777,-0.6410438,0.94855183,2.5328898,-1.6080104,-0.23512718,-0.671083,-0.05541864,0.95131737,-0.42694914,-0.11786154,-1.0166095,-0.05606344,-0.9703746,0.017374605,-0.108499266,0.18048653
25,2.3727875,1.6835577,-6.1134768,2.3987343,-4.016184,-6.012845,0.62634265,2.1754189,-4.80548,-0.25559884,-0.13623537,3.8065882,1.9943594,2.4478972,-1.7076045,-1.476557,-0.5630971,-2.9170914,-2.3158479,-1.5616808,3.8623605,-0.023501206,0.59351385,-0.16807184,-1.6080104,4.5447516,0.11964859,-0.3426145,-0.01765782,0.07175909,1.1327155,0.30258876,0.27920926,0.694535,0.8473236,-0.7939957,-0.30622184,-0.15389378
26,1.9578049,-5.035801,1.3394668,-1.9949292,-0.17251983,-0.21146634,-0.13767375,-0.7603854,-1.9255977,0.7745917,1.7510805,-0.4888148,-0.37680805,1.9724162,-2.0069792,0.6804923,0.20692274,0.52229166,-0.6610085,-0.292479,0.18387696,-0.20319968,0.64793485,-0.23085809,-0.23512718,0.11964859,0.8423675,-0.10045328,0.21862337,0.31730753,-0.5459641,0.4154127,-0.49328864,-0.54258883,-0.76696587,0.39278436,0.16809678,0.08958843
27,-2.098679,-1.2762351,4.992318,-0.83088815,-1.2659096,4.1107078,2.453186,-0.36301893,0.5309288,0.34812763,-0.07441173,0.66367024,-0.2960314,0.3265646,-0.811309,0.9796978,-3.6780417,-0.056197517,0.17987287,-2.4040341,-2.4691296,-0.50339335,0.042009577,-0.017549034,-0.671083,-0.3426145,-0.10045328,2.0219846,0.53091884,0.1398308,0.078337274,-0.122868806,1.6320567,0.9764885,-0.18037404,-0.71773785,-0.15178753,0.17734179
28,0.40817523,-3.7557425,-3.7829154,-0.9348125,3.5471156,1.8021114,0.19863456,-0.754971,-4.3603396,1.4567755,2.5467513,-4.243745,-3.5912912,0.055828784,-0.9992536,1.0524309,0.11150874,0.46880555,0.45151114,0.07372155,-0.6854994,0.071469575,1.8756064,-1.4288588,-0.05541864,-0.01765782,0.21862337,0.53091884,2.4229836,-0.12423007,1.697934,0.023582656,1.3196716,0.18962216,0.05319234,-0.40101838,-0.4000213,0.2839409
29,1.1758115,-3.0864983,1.1124947,3.5409791,-2.2753549,-4.360512,3.4258409,1.8713534,-1.9625416,-0.21868593,-0.23182125,-1.5535102,-3.0370703,-1.1021054,-1.9893758,-1.9786255,0.42167088,-0.1970772,1.2321843,-2.293964,-0.17783585,-0.78911936,-0.6092573,2.7997394,0.95131737,0.07175909,0.31730753,0.1398308,-0.12423007,2.637545,-0.90324455,1.4586914,-0.08153091,-0.104293555,-0.46289876,0.046757907,-0.28412473,0.18456438
