,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,12.814992,1.6320628,2.6462111,-2.0394647,-0.5126598,-1.1494198,6.0958443,1.0036418,-0.51745534,-1.4306738,17.456484,0.37070572,0.56673706,-0.4066112,-2.4798932,1.2526119,0.7067905,0.010237938,0.29895598,0.034817006,-0.1720704,2.2092476,2.2171004,-0.012873703,-0.8976101,1.550278,0.74704313,0.46679968,0.51708543,-1.4644139,-0.35194027,-0.47486395,-0.5107684,-0.6229953,-0.026940864,0.4391243,-0.2461614,-0.58813274,-0.1372086,0.7506391,-0.45135972,-0.21292606,-0.9816472,-0.5293205,0.4034801,-0.16048294,-0.2620635,-0.02992291,0.5721034,-0.014091546,0.28482547,-0.3840391,-0.10563632,0.50089574,-0.3393623,0.3978129,0.01445973,-0.009504307
11,3.8316445,-1.2922978,-1.5863104,1.2956309,-1.2962828,-0.66338986,1.3786185,0.57203805,-1.9141464,2.3408873,0.37070572,12.434509,-3.5584908,-0.440565,0.10693672,-0.3647641,-0.9910197,0.916435,0.91192156,-0.29052788,-1.0668728,0.9543927,0.62320983,-1.2200108,0.39774847,-1.0924115,-0.47553638,-1.9113925,0.03899588,-0.12643778,-2.269519,0.5185313,0.4244402,-0.5000825,-0.71355367,1.8853637,0.63198054,0.9296766,0.9373884,0.0048223105,-0.2279923,-0.30069083,0.9282178,0.14368007,-0.5254382,-0.8650246,0.36854845,0.5194751,0.2477785,-0.6644999,-0.28001088,-0.35328245,0.015708188,-0.270805,-0.45002556,0.022502713,0.3675503,0.08528941
12,7.9822793,1.0980673,1.3191562,-2.7710886,3.3492384,-0.87531745,2.777224,-1.6311922,0.7060543,1.470433,0.56673706,-3.5584908,13.65694,0.14050639,-0.037008435,-0.9009314,0.13935721,-0.07683006,0.98394704,1.343405,-1.1933277,2.3545742,-1.2327082,0.30309194,-0.75762486,0.29672012,-1.3280038,-0.9473528,0.57355857,-0.41355532,-1.4720105,-0.10398379,-0.17896652,-0.33015704,-0.5697161,-0.99684364,0.76915765,0.06569606,-1.1044285,-0.4685086,1.1830771,0.57171845,0.6284271,0.42408848,0.69330364,0.39804134,0.14609715,0.0011387742,-0.20346925,-0.088799454,-0.17561528,0.13757247,0.21211076,0.0664234,0.22425103,-0.18468311,0.0960193,0.40664983
13,-3.3527799,7.4648848,1.5452063,-0.94742215,-2.554357,-5.0957003,-2.0003698,-0.66522443,1.1753465,0.5022503,-0.4066112,-0.440565,0.14050639,11.312659,1.5413268,-0.6816093,1.5953233,1.3398457,-0.09783532,-0.054846622,1.0572162,0.060513355,1.2444828,-1.0027018,-2.3731904,0.8821934,-0.15743974,1.1936992,-0.6734724,0.73972607,-0.39363122,0.4114346,1.388865,-1.1887014,-0.23938842,-0.37449372,-0.34809655,-0.32138616,-0.39763576,0.2038742,-0.49749762,0.4601525,0.2900526,0.65504116,0.46318522,-0.7275816,0.24388653,-0.007164477,-0.57983416,-0.33896625,-0.67079294,-0.28955126,-0.5411686,0.13180965,-0.10407774,-0.10048391,0.3797289,-0.3037088
14,5.9051113,0.6486285,-1.5909722,2.4521768,-0.43995905,-3.8024948,-2.6232069,0.31808162,0.15134901,2.0974905,-2.4798932,0.10693672,-0.037008435,1.5413268,6.599297,1.3759422,1.4391317,0.4322432,-0.37010884,1.204127,-0.20571266,-0.20320725,-0.16294232,1.1428716,-0.95399094,-1.163973,-0.893556,-0.48895574,0.6225253,-0.34686744,-0.61741674,-0.7356548,0.40954128,0.86981964,0.50566065,0.9413388,0.680109,-0.7654304,-0.1568137,0.29546714,-1.0114443,0.4507742,-0.39055336,-0.18141897,0.12949577,0.687723,-0.16500477,-0.31125885,0.34048283,0.05715939,0.20592552,0.0007569471,0.72218406,-0.124696285,-0.35194153,0.18429631,-0.06729237,-0.027933415
15,-9.773998,2.5557075,-1.4062765,3.0725846,1.8009586,0.858315,-3.5462506,2.7790704,-1.4650663,-0.8818407,1.2526119,-0.3647641,-0.9009314,-0.6816093,1.3759422,8.778018,-0.67943704,-1.130321,0.1506801,1.1316234,0.49924588,1.6656778,-0.4165566,1.566448,-1.0733578,-0.39269066,0.232113,1.0228417,0.032800667,-0.79118085,0.18969636,-1.5285928,0.15447348,-1.2739065,-0.5713686,0.4270419,0.44164944,0.05810908,0.30734015,-0.5473101,0.2864236,-0.19249249,0.31421876,-0.6958147,-0.070237115,-0.2888844,-0.38865054,0.009609258,-0.06080079,0.2957161,-0.11295646,0.15785879,0.23115228,-0.18342571,0.38014388,-0.1932793,-0.006484236,-0.20032269
16,0.3847693,-3.142222,-0.7553266,1.2642789,-1.0065408,0.9557681,-3.143755,-1.22744,-2.2977767,-0.47844183,0.7067905,-0.9910197,0.13935721,1.5953233,1.4391317,-0.67943704,9.457109,1.7858489,-0.6970271,-0.8588141,0.15225472,2.0230417,0.014595987,0.058737926,0.6136373,0.8069054,-0.026127692,0.2978294,-0.049036596,0.94458294,-0.1215096,-0.36977452,-0.5111817,-0.1166929,0.35963428,0.61644894,-0.06867917,0.028140238,-0.43655026,0.5118801,0.22971085,-0.8752954,0.92320764,0.13373359,-0.3808846,0.6903141,-0.18042761,0.15952355,0.38074043,0.3230527,0.08425456,-0.29735136,0.31813633,0.33604404,0.11537135,0.32058585,-0.20599341,-0.023016132
17,-8.949213,0.977427,-3.032033,-0.12900788,0.54255736,-0.31260735,1.5878737,-2.7309427,-1.4223729,-0.8454954,0.010237938,0.916435,-0.07683006,1.3398457,0.4322432,-1.130321,1.7858489,6.0954223,-1.7982047,0.43353203,0.48193377,-0.027833462,0.27810597,1.1788554,-0.1995952,0.30078027,0.2706972,-1.2909073,0.053665243,-0.91295135,0.2521913,1.1684966,-0.6806693,-0.035741195,-0.9812566,-0.08765058,-0.47783464,-0.24501015,0.40897405,-0.0404702,-0.34241384,0.5610119,0.6073673,-0.66160417,-0.45849138,0.5863601,0.4587596,-0.37652814,-0.24873452,-0.69531,0.016008971,0.25967264,0.010047074,-0.0985737,0.28188872,-0.0672841,0.018461019,0.22588441
18,1.1687667,-1.8422196,7.3082027,0.13461524,0.6610493,-1.2579415,-2.0704932,-0.37189606,-3.468583,0.21567206,0.29895598,0.91192156,0.98394704,-0.09783532,-0.37010884,0.1506801,-0.6970271,-1.7982047,5.936575,-0.30590943,-0.14266649,1.2535713,0.75225943,-1.1385946,-0.05670666,-1.2894008,-1.2127829,0.05064086,0.033504523,0.6437547,0.27394533,0.6582777,0.028815698,-0.15280122,-0.49033806,0.1632809,-0.90231454,-0.19706842,0.24052006,0.06681296,-0.30630884,0.6379908,-0.48587883,0.73169744,-0.13725676,0.116572775,-0.59492993,-0.28861248,-0.30569375,0.26185647,0.13531363,-0.04403244,0.31714892,0.24286246,0.38021618,0.118510365,-0.1829688,0.22827074
19,-1.4619853,-3.8834047,5.3635564,3.277081,1.7857311,0.83851683,-1.2930522,0.20342335,2.476512,0.56345123,0.034817006,-0.29052788,1.343405,-0.054846622,1.204127,1.1316234,-0.8588141,0.43353203,-0.30590943,4.349287,-0.6260114,0.9793912,0.62604725,0.40339673,-1.1000051,0.53765213,-0.7546468,-0.16004379,-1.0876169,-0.41619444,0.01823971,0.4639924,-0.4295293,1.0308952,-0.73713756,-0.4042378,0.39158612,0.48925745,0.15513581,-0.15545988,-0.78121805,-0.34837463,-0.1294826,-0.6152973,-0.1101554,0.23160934,0.36548436,0.33734024,0.15516679,-0.081720084,-0.4150831,-0.096208386,-0.24093738,-0.2650066,-0.25697982,-0.0016666731,-0.28047955,-0.05935206
20,4.3562274,-2.584644,3.5609245,-0.27099168,0.50532913,-1.3042908,-0.12615728,-0.35331136,-0.9455003,0.7927619,-0.1720704,-1.0668728,-1.1933277,1.0572162,-0.20571266,0.49924588,0.15225472,0.48193377,-0.14266649,-0.6260114,8.753958,-0.51278293,-0.64280975,-0.5556104,0.349103,-0.082300834,-0.25648946,-0.2618087,0.08461128,0.3056875,-0.5736573,-0.7946119,-1.1987057,-0.6827244,-0.062184855,-0.160092,0.48210353,-0.040428706,-0.3556496,-0.031043604,0.052508883,0.30033317,-0.61936307,-0.6360073,0.03324422,-0.21927643,-0.1997395,-0.62904763,0.060491312,-0.06527664,-0.19218323,0.03881646,-0.93811643,-0.08900334,-0.1691521,0.027026778,-0.014276115,0.3389309
